Date,Location,AlertCount,AlertLevel,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
18/01/12,Brisbane,0,-1,20,29.4,5.4,1.6,7.5,E,20,WSW,ENE,6,11,72,70,1012.7,1010.7,2,7,26.2,27.6,Yes,No
19/01/12,Brisbane,0,-1,20.7,30.9,0,5,12.3,ESE,31,SE,ESE,7,17,65,62,1013.9,1011.7,3,2,27.5,29.1,No,No
20/01/12,Brisbane,0,-1,20.6,30.3,0,10,8.8,SE,35,SSE,SE,7,17,64,61,1013.7,1011.9,7,4,26.7,27.5,No,No
21/01/12,Brisbane,0,-1,20,30.2,0,7.6,9.7,ESE,35,SSE,SE,7,15,56,63,1012.5,1010.3,3,7,27.1,27.3,No,No
22/01/12,Brisbane,0,-1,21.1,29.6,0,8,9.7,ENE,37,ESE,ESE,13,11,58,56,1014.3,1012.3,7,7,26.9,28.1,No,No
23/01/12,Brisbane,0,-1,21.1,27.5,0.6,6.6,0.5,SSE,30,ESE,ESE,9,7,73,91,1013.6,1012.7,7,8,26.6,23.2,No,Yes
24/01/12,Brisbane,0,-1,21.1,23.5,31.2,2.2,0,E,33,ESE,ESE,9,13,97,96,1012,1009.9,8,8,23,22.6,Yes,Yes
25/01/12,Brisbane,0,-1,21.3,26.6,168.4,2.6,0.7,NE,26,S,NE,2,6,98,88,1008.5,1005.8,8,8,23.3,24.6,Yes,Yes
26/01/12,Brisbane,0,-1,22,30.5,3.8,2,5.8,ENE,22,NA,ENE,0,7,82,72,1008.1,1006.2,6,7,26.5,28.9,Yes,Yes
27/01/12,Brisbane,0,-1,23.2,25.4,8.6,3.2,0,ESE,33,E,ESE,2,13,95,97,1011.3,1009.3,8,8,24.2,24,Yes,Yes
28/01/12,Brisbane,0,-1,22.1,26.3,8.2,2.2,0,ESE,31,E,E,7,11,88,93,1011.8,1009.4,8,8,24.3,24.2,Yes,Yes
29/01/12,Brisbane,0,-1,21.8,26.3,18,4.6,0,E,30,ESE,ENE,4,7,98,95,1010.2,1007.8,8,8,23.3,25,Yes,Yes
30/01/12,Brisbane,0,-1,22.3,28.2,15.8,2.2,6.3,NE,26,ENE,NE,11,11,83,72,1009.4,1006.7,6,5,25.9,27.6,Yes,No
31/01/12,Brisbane,0,-1,22.3,28.2,15.8,2.2,6.3,NE,27,ENE,NE,11,11,83,72,1009.4,1006.7,6,5,25.9,27.6,Yes,No
01/02/12,Brisbane,0,-1,22.3,28.2,15.8,2.2,6.3,NE,28,ENE,NE,11,11,83,72,1009.4,1006.7,6,5,25.9,27.6,Yes,No
02/02/12,Brisbane,0,-1,22.4,28.4,0.4,7,9.9,E,33,ENE,ENE,17,11,66,60,1006.2,1004.2,6,6,27.1,27.1,No,Yes
03/02/12,Brisbane,0,-1,20.6,28,3.2,8.6,9,NE,24,W,ENE,2,9,78,71,1004.5,1002.4,7,7,25.3,25.3,Yes,No
04/02/12,Brisbane,0,-1,20.3,29.4,0.2,4.4,8.6,ESE,22,SSE,SE,6,9,61,55,1003.8,1001.5,2,6,26.9,28.1,No,No
05/02/12,Brisbane,0,-1,19.9,31.7,0,5.8,11.1,E,24,SW,ENE,4,9,63,54,1003.7,999.5,3,2,26.4,30.3,No,No
06/02/12,Brisbane,0,-1,22.3,34,0,7,11.2,E,22,WNW,E,4,15,68,62,1001.1,998.8,1,5,27.6,30.4,No,No
07/02/12,Brisbane,0,-1,23.3,30.5,0,5,10.6,WSW,31,SE,ENE,6,9,65,65,1004.8,1002.2,4,2,28.6,29.1,No,No
08/02/12,Brisbane,0,-1,21.9,30.6,0,8,10.6,WSW,33,SSE,ENE,4,11,69,62,1006.9,1004.8,5,4,27.5,28.5,No,Yes
09/02/12,Brisbane,0,-1,19.9,30.5,32.2,6.4,12.1,SE,35,SSW,SE,7,17,68,59,1010.1,1008.1,3,4,26.5,27.6,Yes,No
10/02/12,Brisbane,0,-1,19.8,29,0,6.4,12,E,24,S,E,6,11,62,57,1012.4,1009.8,2,1,26,27.6,No,No
11/02/12,Brisbane,0,-1,20,30.2,0,6.4,10.6,NE,22,SW,E,4,9,75,59,1012.4,1008.9,6,3,24.8,29.3,No,Yes
12/02/12,Brisbane,2,m,20.7,32.2,1.2,7.8,10,SW,35,SW,ENE,2,13,69,58,1014.3,1010.9,1,2,27.2,30.8,Yes,Yes
13/02/12,Brisbane,2,m,21,29.5,14.8,6.6,8.1,SE,35,NE,ENE,4,13,73,65,1015.9,1013.1,3,5,27.2,28.5,Yes,Yes
14/02/12,Brisbane,2,m,20.9,29.3,1.6,6.4,10.9,E,33,SE,ESE,9,17,64,63,1017.4,1015.2,1,3,26.6,27.6,Yes,No
15/02/12,Brisbane,2,m,19.9,29.7,0,7.8,11.6,SE,35,SE,ESE,11,17,61,52,1018.5,1015.7,2,1,26.1,28.1,No,No
16/02/12,Brisbane,2,m,19.6,29.4,0,9.6,11.6,SE,31,SSE,ESE,9,13,60,53,1017.8,1015.4,2,2,26.5,28.1,No,No
17/02/12,Brisbane,2,m,20.1,29.9,0,9.2,11.9,ESE,35,SSW,ESE,7,13,64,55,1016.9,1014.2,2,3,26.2,28.4,No,No
18/02/12,Brisbane,2,m,20.1,29.7,0,8.6,8.7,E,26,S,ENE,7,11,65,61,1016.9,1014.3,4,5,26.4,29.1,No,No
19/02/12,Brisbane,0,-1,21.5,31.3,0,5.6,8.9,ENE,22,S,ENE,4,11,68,61,1017.3,1013.4,4,3,27.4,30.3,No,No
20/02/12,Brisbane,0,-1,21.9,32.4,0,6,11.2,NE,22,W,NNE,4,7,75,59,1013.9,1009.6,6,6,26.5,30,No,Yes
21/02/12,Brisbane,0,-1,22.6,31.2,20,7,5.3,ESE,26,N,NE,6,6,83,77,1009.4,1006.3,7,7,26.1,27.8,Yes,No
22/02/12,Brisbane,0,-1,22.9,29.5,0.2,5.4,9.5,ESE,33,SSE,E,11,15,64,62,1013.7,1011.9,2,7,26.5,27.5,No,Yes
23/02/12,Brisbane,0,-1,21.1,23.5,5.2,6.4,0,SE,19,SW,SSE,2,9,87,94,1018.5,1018.3,8,8,22.9,21.6,Yes,Yes
24/02/12,Brisbane,0,-1,20.1,27.1,10.4,5,0,SSE,24,SE,ESE,6,9,92,94,1020.1,1018.6,8,8,21.4,22.3,Yes,Yes
25/02/12,Brisbane,0,-1,20.7,28.9,58.4,3,5.7,E,39,E,E,13,17,84,79,1019.7,1017.9,7,7,27,26.4,Yes,Yes
26/02/12,Brisbane,1,l,22.3,29.2,14,3.8,6.2,E,28,ESE,ESE,9,11,74,71,1020.8,1017.8,5,6,26.5,26,Yes,No
27/02/12,Brisbane,1,l,20.7,29.1,0.4,6.6,9.3,E,33,E,E,13,13,68,55,1018.9,1017,7,NA,27.5,27.4,No,No
28/02/12,Brisbane,1,l,21.1,29.7,0,7.2,11.6,ENE,26,E,ENE,15,9,64,58,1016.8,1014.8,2,3,27.1,28.6,No,No
29/02/12,Brisbane,1,l,20.6,30.6,0,6.8,11.5,NE,24,S,NNE,4,9,71,63,1016.3,1012.1,2,1,27.2,29.4,No,No
01/03/12,Brisbane,1,l,20.6,31.2,0,6.6,10.8,NE,24,W,NE,4,11,68,57,1013,1009,7,7,26.8,29.7,No,No
02/03/12,Brisbane,1,l,19.5,32.1,0,8,11.2,ENE,20,SW,NE,4,7,61,50,1011,1008.5,6,1,27.4,31.4,No,No
03/03/12,Brisbane,1,l,22.7,28.1,0.8,6.8,6,E,28,SE,ESE,9,7,78,88,1015.2,1013.5,7,7,26.6,26.9,No,Yes
04/03/12,Brisbane,1,m,21,30,16.4,4.4,4.5,E,28,ESE,E,4,6,86,76,1015.5,1012.8,7,7,26.2,27.4,Yes,Yes
05/03/12,Brisbane,1,m,23.1,25.9,22.2,4.4,0,E,22,E,ESE,9,11,98,91,1012.5,1009.9,8,8,23.9,24.7,Yes,Yes
06/03/12,Brisbane,1,m,21.6,26.1,7.6,2.6,2.9,SE,28,SSE,SSE,7,9,78,70,1012.7,1010.9,7,6,25.1,25,Yes,Yes
07/03/12,Brisbane,1,m,19.2,28.7,7.4,2.8,10.3,SE,30,S,ESE,7,9,66,53,1012,1008.1,1,5,24.4,27.2,Yes,No
08/03/12,Brisbane,1,m,18.3,29,0,7,9.6,E,20,SSW,ENE,4,9,63,62,1011.5,1007.8,4,4,24.2,26.6,No,No
09/03/12,Brisbane,1,m,19.9,31.7,0,7,11.7,SW,24,SW,SSW,7,6,68,32,1011.5,1008.3,1,1,25.1,30.7,No,No
10/03/12,Brisbane,1,m,16.9,31.4,0,4.6,11.5,E,20,WSW,ENE,7,7,50,50,1013.3,1011.4,1,2,24.7,29.4,No,No
11/03/12,Brisbane,0,-1,20.5,28.1,1,7,6.2,ESE,31,NA,E,0,9,71,59,1017.8,1015.4,7,5,24.6,26.6,No,No
12/03/12,Brisbane,0,-1,20.3,27.6,0.2,4.6,8.6,E,31,SE,E,4,13,67,60,1018.7,1017.3,4,4,25.7,25.8,No,No
13/03/12,Brisbane,0,-1,18.4,28.4,0,7,9.8,SE,39,SE,ESE,9,17,61,50,1020.5,1017.7,5,6,25.8,27.6,No,Yes
14/03/12,Brisbane,0,-1,20.5,26.2,4.8,6.6,0,E,17,SE,NA,7,0,97,89,1019.3,1015.8,8,8,21.5,24,Yes,Yes
15/03/12,Brisbane,0,-1,20.5,27.3,8.2,2,2.8,NE,26,SSE,E,9,13,79,79,1016,1012.8,7,8,25.2,25.3,Yes,No
16/03/12,Brisbane,0,-1,20.3,29.7,0.6,4.2,11.1,SE,26,SSE,E,9,13,72,61,1014.1,1010.9,2,1,26.3,28,No,No
17/03/12,Brisbane,0,-1,22.5,28.4,0.4,5.6,2.4,S,31,SSW,E,4,11,82,79,1013.4,1010.5,7,8,26.8,25.7,No,Yes
18/03/12,Brisbane,0,-1,20.1,26,22.2,4,0,SE,33,SSW,SE,4,13,88,68,1015.7,1013.6,8,7,23,25.2,Yes,No
19/03/12,Brisbane,0,-1,18.4,28.1,0.2,4.4,6.3,ESE,28,SSW,SSW,6,2,73,68,1016,1012.2,3,7,23.3,25.8,No,Yes
20/03/12,Brisbane,0,-1,20.7,27.9,4.4,3.8,7.1,SE,37,ESE,ESE,13,15,84,65,1014,1010.7,5,4,24.5,27.1,Yes,Yes
21/03/12,Brisbane,0,-1,19.4,28.3,3.4,5,2.6,ESE,22,ESE,ESE,7,11,76,73,1009.4,1005.7,7,7,24.5,25.3,Yes,No
22/03/12,Brisbane,0,-1,22.2,25.1,0.2,4,0,ENE,26,ESE,SE,11,9,83,97,1006.8,1004.9,8,8,24.9,21.7,No,Yes
23/03/12,Brisbane,0,-1,19.8,30.1,16,0.8,3.4,WNW,19,SW,W,4,4,93,66,1004.4,1001.8,7,5,21.7,29.2,Yes,No
24/03/12,Brisbane,0,-1,18.5,27.9,0,4.2,9.2,ESE,28,SW,E,6,13,48,64,1010.9,1010.8,6,5,24.3,26.7,No,No
25/03/12,Brisbane,3,m,19,26.8,0,5.4,8.6,SE,33,SE,ESE,11,15,60,60,1018.6,1017.8,6,3,24.6,24.4,No,No
26/03/12,Brisbane,3,m,17,26.5,0,8,10.8,E,28,SSE,ESE,6,13,64,52,1021.4,1019.2,2,1,24.4,25.4,No,No
27/03/12,Brisbane,3,m,16.8,26.9,0,7,8,E,33,S,ESE,6,15,66,54,1021.6,1019,1,6,23.9,25.4,No,No
28/03/12,Brisbane,3,m,18,27.2,0,5.2,9.2,SE,30,SE,ESE,7,15,65,50,1020.4,1017,5,2,24.5,26.1,No,No
29/03/12,Brisbane,3,m,18,27.6,0,6.8,8.2,SSE,30,SSW,ESE,6,13,65,58,1018.4,1014.7,3,4,23.8,26.1,No,No
30/03/12,Brisbane,3,m,18.1,28.2,0.2,5,9.5,E,30,SW,E,4,13,69,65,1016.4,1013.6,1,3,24.6,25.8,No,Yes
31/03/12,Brisbane,3,m,17.5,28.5,2,6.2,11,SE,30,SSW,SE,6,13,70,55,1016.8,1013.4,1,1,23.6,26.7,Yes,No
01/04/12,Brisbane,1,m,17.6,28.7,0.2,6,8.2,SSE,30,WSW,SSW,6,6,69,52,1016,1012.4,1,4,23.3,27.7,No,No
02/04/12,Brisbane,1,m,18,30.3,0,6.6,10.7,SE,20,SW,WSW,7,6,65,42,1015.6,1011.9,1,3,23.8,29.8,No,No
03/04/12,Brisbane,1,m,18.3,30.5,0,5.2,10.4,SE,24,SSW,S,6,6,66,39,1015.6,1012.2,1,2,23.9,29.8,No,No
04/04/12,Brisbane,1,m,17.7,28.8,0,5.2,10.5,ENE,24,WSW,ESE,7,11,68,53,1016.8,1014,1,2,23.9,26.6,No,No
05/04/12,Brisbane,1,m,17.9,28.4,0,6.6,8.7,E,26,SW,ESE,4,11,70,53,1019.3,1016.1,2,2,23.5,26.1,No,No
06/04/12,Brisbane,1,m,17.7,27.4,0,8,10.6,E,26,S,ESE,6,13,63,58,1020,1016.4,5,4,23.5,24.7,No,No
07/04/12,Brisbane,1,m,16.1,29.3,0,6.4,10.6,WNW,15,SSW,SE,4,6,68,45,1018.3,1014.3,1,1,22.6,28.2,No,No
08/04/12,Brisbane,0,-1,17.5,27.3,0,4.6,8.8,E,22,SSW,E,4,11,70,67,1020,1016.9,2,6,23.5,25.7,No,No
09/04/12,Brisbane,0,-1,17,30.5,0,4.8,10.7,NE,20,SSW,NE,4,6,80,59,1017.6,1013.1,1,1,22.4,28.6,No,No
10/04/12,Brisbane,0,-1,18.5,28.4,0,5.8,9.5,ESE,35,SW,E,6,17,62,57,1018,1016.7,4,2,22.9,23.6,No,No
11/04/12,Brisbane,0,-1,15.1,24.4,0,7.8,8.7,ESE,31,SSW,ESE,7,13,56,50,1025,1022.9,2,4,20.4,23.4,No,No
12/04/12,Brisbane,0,-1,14.9,24.9,0,6.2,8.6,SE,39,S,SE,7,9,61,69,1027.9,1026.4,1,5,21.1,21,No,Yes
13/04/12,Brisbane,0,-1,16.1,25.8,3.4,4.6,6.3,ESE,30,WSW,ESE,6,11,88,59,1028.6,1025.9,6,7,18.9,23.9,Yes,Yes
14/04/12,Brisbane,0,-1,17.2,25.2,2.4,4.4,6.5,ESE,28,SW,ESE,4,7,78,72,1025.8,1022.3,3,2,22.3,23.6,Yes,Yes
15/04/12,Brisbane,0,-1,18.3,23.9,12.4,3.4,5.1,SSE,20,SSW,SSE,4,6,90,93,1023.8,1020.5,7,7,21.1,21.7,Yes,Yes
16/04/12,Brisbane,0,-1,18.6,25.3,7.6,3.6,3.7,E,20,SSW,E,4,9,91,72,1021,1017.5,7,7,21.8,23.2,Yes,Yes
17/04/12,Brisbane,0,-1,18.4,25.4,7.2,3.8,4.6,E,26,SE,E,2,9,92,61,1018.2,1014.8,7,3,20.8,24.6,Yes,No
18/04/12,Brisbane,0,-1,17.7,26.6,0,2.8,10,ESE,26,SSE,ESE,2,13,73,67,1016.7,1013.1,5,3,23.2,24.6,No,No
19/04/12,Brisbane,0,-1,18,27.9,0.2,5.6,10.5,E,19,SW,ENE,6,7,73,62,1016.5,1013.3,3,2,23.4,26.9,No,No
20/04/12,Brisbane,0,-1,18.6,27.2,0.2,3.6,3.4,ESE,24,SW,SE,4,11,78,72,1016.3,1013.2,6,7,24.3,25,No,No
21/04/12,Brisbane,0,-1,18.1,29.9,0,3.2,10.4,ENE,17,WSW,ENE,6,9,72,61,1014.6,1011.1,1,3,23.6,27.8,No,No
22/04/12,Brisbane,0,-1,18.2,28.6,0.2,3.4,8.7,WNW,22,WSW,NE,6,7,79,65,1015.5,1012,8,7,22.5,26.6,No,No
23/04/12,Brisbane,0,-1,18.2,27.6,0,3.2,6.5,ENE,17,W,NE,6,7,98,68,1016.1,1011.9,7,7,20.5,26.3,No,No
24/04/12,Brisbane,0,-1,20.4,25.8,0,2.6,1,W,22,SW,S,2,6,88,81,1014,1012,7,8,24.1,24.3,No,No
25/04/12,Brisbane,0,-1,19.3,22.8,0.2,3.4,1.9,W,30,W,WNW,7,7,73,49,1015.5,1012,7,7,20.8,22.7,No,No
26/04/12,Brisbane,0,-1,11.6,24.4,0,3.4,10.5,W,20,SSW,WSW,6,4,44,32,1018.3,1015.8,1,2,18.1,23.7,No,No
27/04/12,Brisbane,0,-1,13.9,20.4,0.2,4,0.1,SSE,19,SW,WSW,6,6,83,79,1021.8,1019,8,8,16.2,19.6,No,Yes
28/04/12,Brisbane,0,-1,16.1,21.2,38.4,2.4,0,SSE,19,NA,SE,0,4,98,98,1018.9,1015.4,8,8,18.1,18.8,Yes,Yes
29/04/12,Brisbane,1,m,17.1,23.8,76.4,2.4,1.9,WSW,19,WSW,SSW,6,6,79,71,1015,1014.9,7,7,20.4,22.7,Yes,No
30/04/12,Brisbane,1,m,16.9,24.6,0,3,8.2,SE,35,SSW,SE,6,13,67,55,1023.2,1020.5,1,2,21.3,23.5,No,No
01/05/12,Brisbane,1,m,15.1,23.7,0,4.8,4.2,SE,28,S,ESE,6,7,72,63,1025.4,1022.4,1,7,21,22.7,No,Yes
02/05/12,Brisbane,1,m,17.1,24.3,4.2,2.2,7.1,E,20,SSW,E,4,9,83,57,1023.4,1019.5,7,2,20,23,Yes,No
03/05/12,Brisbane,1,m,16.1,25,0,4.6,7.7,ENE,22,SW,ENE,4,6,74,70,1019.5,1015.8,3,6,20.8,23.5,No,Yes
04/05/12,Brisbane,1,m,16.8,24.8,7.8,3.2,6.7,SE,20,WSW,ESE,4,7,85,68,1017.5,1013.4,7,5,19.2,23.7,Yes,No
05/05/12,Brisbane,1,m,14.8,25.2,0,3.6,10.2,W,22,SW,W,6,9,68,39,1014.8,1011.8,1,1,20.6,24.4,No,No
06/05/12,Brisbane,0,-1,10.6,24.7,0,4.8,10.2,WSW,17,SW,WSW,4,4,56,31,1018,1014.9,1,1,17.4,24.1,No,No
07/05/12,Brisbane,0,-1,11.2,25.4,0,3.6,10.3,SW,15,SW,NE,6,2,64,42,1018.6,1014.5,2,1,17.4,24.9,No,No
08/05/12,Brisbane,0,-1,11.8,26.3,0,4,10.2,E,17,SW,S,6,4,65,35,1018.1,1015.3,2,1,17.5,26,No,No
09/05/12,Brisbane,0,-1,12.8,26.1,0,2.6,9.9,ENE,13,SW,NE,4,7,73,43,1022.7,1019.9,0,1,18.5,24.6,No,No
10/05/12,Brisbane,0,-1,13.1,26.7,0,3.4,9.7,NE,17,SW,NNE,4,7,73,49,1024.3,1020.2,1,1,18.9,24.9,No,No
11/05/12,Brisbane,0,-1,13.4,25.8,0,3.6,10.1,NNW,15,SW,NNE,4,6,81,53,1023.1,1018.2,1,1,18.9,24.3,No,No
12/05/12,Brisbane,0,-1,13.4,27.2,0,3.8,10.1,W,13,SW,NW,2,6,83,38,1019.1,1014.6,0,1,17.6,27.1,No,No
13/05/12,Brisbane,1,m,12.8,25.8,0,3.2,10,W,39,W,W,4,20,59,29,1016.3,1013.1,0,0,20.8,25.1,No,No
14/05/12,Brisbane,1,m,10,21.4,0,7.2,9.9,WSW,22,SW,ENE,6,7,43,35,1020,1018.4,0,1,16.1,20,No,No
15/05/12,Brisbane,1,m,8.1,23.4,0,5.4,9.5,SW,19,SW,SW,7,4,52,38,1022.5,1018.7,1,1,15.2,23.2,No,No
16/05/12,Brisbane,1,m,10.2,24.3,0,4.8,9.9,WSW,17,SW,S,7,2,67,36,1022.8,1019.4,1,1,16.4,23.4,No,No
17/05/12,Brisbane,1,m,10.9,24.9,0,3.8,9.8,E,20,SW,NNE,7,4,69,60,1023.6,1020.4,1,2,16.8,22.8,No,No
18/05/12,Brisbane,1,m,11.9,24.1,0,3.8,8.7,E,19,SW,ESE,6,7,76,48,1024.2,1021.1,1,5,17.3,22,No,No
19/05/12,Brisbane,1,m,10.8,24.4,0,3.4,9.3,ESE,17,SSW,ENE,4,9,75,51,1023.8,1020.4,1,1,17,22.6,No,No
20/05/12,Brisbane,0,-1,11.3,24,0,3.8,9.4,ESE,20,SSW,E,2,7,78,49,1023.8,1020.5,1,5,16.5,22.1,No,No
21/05/12,Brisbane,0,-1,11.7,22.9,0,3.2,5.9,SSE,20,SW,E,6,7,72,61,1024.5,1022,3,6,17,22,No,No
22/05/12,Brisbane,0,-1,13.7,24.8,0,2.2,9.8,ENE,17,WSW,NNE,6,6,76,50,1025.8,1022.3,2,3,18.4,23.8,No,No
23/05/12,Brisbane,0,-1,13,23.7,0,3.8,7.4,ENE,20,WSW,NNE,4,7,79,57,1026.3,1022.8,2,5,17.9,23.5,No,No
24/05/12,Brisbane,0,-1,14.1,23.8,0,3,3.5,NNE,26,NA,NE,0,6,82,68,1023.5,1020.5,7,7,18,22.3,No,No
25/05/12,Brisbane,0,-1,17.7,19.8,0.4,1.2,0,WNW,31,NA,WNW,0,6,93,88,1018.3,1015.6,8,8,18.8,16.9,No,Yes
26/05/12,Brisbane,0,-1,11.3,19.7,10.6,1.8,8.2,W,30,W,W,9,13,67,45,1019.2,1015,6,3,13.2,19.3,Yes,No
27/05/12,Brisbane,0,-1,8.4,22.6,0.2,4,8.9,SW,22,SW,SSE,6,4,56,45,1018.7,1015.8,1,3,14.8,21.2,No,No
28/05/12,Brisbane,0,-1,10.2,22.7,0,3,8.7,SSE,26,SW,S,7,9,63,51,1021.6,1019.5,1,6,15.7,21.9,No,No
29/05/12,Brisbane,0,-1,13.3,22.5,0,3.2,9.6,SE,35,SSW,SE,6,17,70,56,1025.3,1024.2,1,4,18.2,22.1,No,No
30/05/12,Brisbane,0,-1,13.2,22.9,0,3.6,7.2,SE,35,SSW,SE,2,11,85,56,1029.5,1026.7,6,4,16.7,21.8,No,Yes
31/05/12,Brisbane,0,-1,14.7,21,13.2,3.6,2.4,SE,31,S,SSE,7,7,91,72,1028.6,1026.1,6,8,16.9,19.1,Yes,Yes
01/06/12,Brisbane,0,-1,13.7,22,6,0,3.2,ESE,26,SSE,E,6,11,88,85,1024.9,1021.6,7,7,18.5,19.1,Yes,Yes
02/06/12,Brisbane,0,-1,15.2,22.4,13,1.6,0.8,ENE,26,SW,E,2,9,94,82,1019.6,1015.6,7,7,16.8,20.4,Yes,Yes
03/06/12,Brisbane,0,-1,16.4,22.9,26.4,0.8,1.5,WSW,15,WSW,NA,4,0,98,74,1012,1008.3,7,6,17.4,22.6,Yes,No
04/06/12,Brisbane,0,-1,13.8,22.4,0.2,1,9.7,W,44,W,W,9,19,74,47,1007.7,1004.5,1,2,18.8,21.5,No,No
05/06/12,Brisbane,0,-1,12.1,17.9,0,6.6,9.9,WNW,46,W,WNW,17,20,55,43,1007.6,1004.1,1,2,14.7,17.2,No,No
06/06/12,Brisbane,0,-1,10.7,22,0,5.6,8.3,W,30,WSW,S,11,7,58,42,1011,1010.3,1,2,14.7,21.6,No,No
07/06/12,Brisbane,0,-1,12.1,21.1,0,5.4,7.5,SE,22,SW,ESE,7,9,68,51,1018.2,1016.7,1,4,16.3,20.1,No,No
08/06/12,Brisbane,0,-1,11,20.7,0,3.2,4,SSE,28,SSW,ESE,6,11,72,57,1022.8,1020.8,6,7,15.3,18.8,No,No
09/06/12,Brisbane,0,-1,12.7,20.3,0,2.4,6,SSE,26,WSW,SE,6,11,79,61,1023.8,1020.5,6,5,14.9,18.9,No,Yes
10/06/12,Brisbane,0,-1,12.8,17.9,7,0.2,0,SSE,22,SW,SSE,4,7,98,80,1021.1,1016.5,7,7,13.2,17.2,Yes,Yes
11/06/12,Brisbane,0,-1,13.2,19,5.2,1.6,0.4,SW,30,SSW,SW,7,11,79,82,1012.8,1009.8,7,8,15.9,15.6,Yes,Yes
12/06/12,Brisbane,0,-1,14,21.9,1.6,2.4,8.8,SW,33,SW,SSW,7,7,66,59,1010.2,1009.5,1,1,18.9,20.8,Yes,No
13/06/12,Brisbane,0,-1,13.5,22.7,0.4,3.4,7.9,S,26,SSW,S,7,4,68,53,1014.9,1013.3,2,2,17.5,21.9,No,No
14/06/12,Brisbane,0,-1,12.7,23.3,0.2,3.6,9,W,24,SW,SSW,7,6,72,52,1017.3,1015.3,0,2,17.2,21.8,No,No
15/06/12,Brisbane,0,-1,10.2,23.5,0,3,9.8,SW,13,SW,N,2,4,79,53,1020.5,1017.7,1,1,15.3,22.2,No,No
16/06/12,Brisbane,0,-1,10.1,23.8,0,2.6,9.6,NE,22,NA,NE,0,9,78,63,1022.3,1017.5,0,1,14.8,21.6,No,No
17/06/12,Brisbane,1,m,13.2,23.4,0,2.2,9.9,W,26,W,W,7,9,64,33,1021.3,1018.4,1,0,18,22.8,No,No
